area_type,availability,location,size(in BHK),total_sqft,per_Sqft,bath,furnishing,transaction,parking,price
Apartment,Ready_to_move,Dwarka,3,1850,3524,4,Semi-Furnished,Resale,1,24000000
Apartment,Ready_to_move,"MeeraBai Apartment, Dwarka Sector 5",4,1800,3524,2,Semi-Furnished,Resale,1,16500000
Apartment,Ready_to_move,"Crescent Apartments, Dwarka Sector 18",3,1620,3524,2,Semi-Furnished,Resale,1,14900000
Apartment,Ready_to_move,"Ashoka Enclave Apartment, Dwarka Sector 11",4,1800,3524,3,Furnished,Resale,1,19200000
Apartment,Ready_to_move,"Nav Kairali Apartment, Dwarka Sector 3",3,1540,3524,3,Semi-Furnished,Resale,1,14500000
Apartment,Ready_to_move,"Ashirwad Apartments, Dwarka",3,1600,3524,3,Semi-Furnished,Resale,1,15600000
Apartment,Ready_to_move,"Indraprastha Apartment, Dwarka Sector 12",3,1400,3524,2,Unfurnished,Resale,1,11400000
Apartment,Ready_to_move,"Mohinder Apartments, Dwarka",4,2300,3524,4,Furnished,Resale,1,31500000
Apartment,Ready_to_move,"Ashoka Apartments, Dwarka Sector 12",3,1560,3524,2,Furnished,Resale,2,15800000
Apartment,Ready_to_move,"Karuna Vihar Apartment, Dwarka",3,1500,3524,3,Semi-Furnished,Resale,2,16000000
Apartment,Ready_to_move,"Nav Kairali Apartment, Dwarka Sector 3",3,1540,3524,3,Semi-Furnished,Resale,1,14500000
Apartment,Ready_to_move,"LNT Apartments, Dwarka",2,1050,3524,2,Unfurnished,Resale,1,10500000
Apartment,Ready_to_move,Dwarka Sector 4,3,1800,3524,2,Semi-Furnished,Resale,1,14800000
Builder_Floor,Ready_to_move,Dwarka Sector 3,1,400,3524,1,Semi-Furnished,New_Property,1,1850000
Builder_Floor,Ready_to_move,Dwarka Sector 16B,3,1150,3524,2,Semi-Furnished,New_Property,1,6800000
Apartment,Ready_to_move,"Chopra Apartment, Dwarka Sector 23",3,1525,3524,3,Semi-Furnished,Resale,1,14200000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,1,900,,1,Semi-Furnished,Resale,,8900000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1450,,3,Semi-Furnished,New_Property,2,37500000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1450,,3,Semi-Furnished,New_Property,2,30000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1260,,3,Semi-Furnished,Resale,2,21000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,4,2925,,4,Unfurnished,New_Property,2,57500000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1710,,3,Semi-Furnished,Resale,1,30000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1600,,3,Unfurnished,New_Property,1,30000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1500,,3,Semi-Furnished,Resale,1,31500000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,2200,,3,Unfurnished,Resale,1,30000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1350,,3,Unfurnished,New_Property,1,41500000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1710,,3,Semi-Furnished,Resale,1,24800000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1350,,3,Semi-Furnished,Resale,2,35000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1500,26666,3,Semi-Furnished,Resale,1,40000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,4,2880,15972,5,Unfurnished,New_Property,1,46000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,4,2700,183333,4,Semi-Furnished,Resale,2,55000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1400,183333,3,Unfurnished,Resale,1,24500000
Apartment,Ready_to_move,Lajpat Nagar 3,3,1800,183333,3,Unfurnished,Resale,1,24500000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1400,183333,3,Semi-Furnished,New_Property,1,32500000
Apartment,Ready_to_move,Lajpat Nagar 3,2,1000,20000,2,Furnished,Resale,1,20000000
Builder_Floor,Ready_to_move,Lajpat Nagar,4,8000,20000,5,Semi-Furnished,New_Property,1,240000000
Apartment,Ready_to_move,Lajpat Nagar 3,2,1000,20000,2,Furnished,Resale,1,20000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1700,20000,3,Furnished,Resale,2,19000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1600,20000,3,Unfurnished,Resale,2,26000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1350,15556,3,Unfurnished,Resale,1,21000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1700,16176,3,Semi-Furnished,Resale,1,27500000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1400,16176,3,Semi-Furnished,New_Property,2,32500000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1450,16176,3,Semi-Furnished,New_Property,1,45000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1350,15556,3,Semi-Furnished,Resale,1,21000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1700,15556,3,Unfurnished,Resale,1,28000000
Builder_Floor,Ready_to_move,Lajpat Nagar 3,3,1600,15556,3,Unfurnished,Resale,2,29500000
Apartment,Ready_to_move,Lajpat Nagar 2,1,1500,,,Unfurnished,Resale,,13500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,800,,2,Unfurnished,New_Property,1,14000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1710,,3,Semi-Furnished,New_Property,4,26000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,1350,9259,2,Furnished,Resale,4,12500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1500,9259,3,Semi-Furnished,New_Property,2,26000000
Builder_Floor,Ready_to_move,"Vinoba Puri, Lajpat Nagar",2,750,9259,2,Semi-Furnished,New_Property,2,11500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,850,9259,2,Semi-Furnished,Resale,2,14600000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1575,9259,3,Semi-Furnished,New_Property,1,25500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1675,18507,3,Semi-Furnished,New_Property,2,31000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1350,18507,3,Semi-Furnished,Resale,2,22000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,18507,2,Semi-Furnished,New_Property,2,13400000
Builder_Floor,Almost_ready,Lajpat Nagar 2,3,1800,18507,3,Semi-Furnished,New_Property,2,35000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,18507,2,Furnished,Resale,2,11000000
Builder_Floor,Ready_to_move,"Vinoba Puri, Lajpat Nagar",2,900,7000,2,Unfurnished,Resale,2,6300000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,7000,2,Furnished,Resale,2,12500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,800,7000,2,Unfurnished,New_Property,1,14500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,1100,7000,3,Semi-Furnished,New_Property,1,22500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,810,7000,2,Semi-Furnished,New_Property,1,15500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1500,7000,3,Semi-Furnished,New_Property,1,26000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,7000,2,Semi-Furnished,New_Property,1,15800000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,825,7000,2,Unfurnished,New_Property,1,15000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,7000,2,Unfurnished,New_Property,1,13000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,875,7000,2,Unfurnished,New_Property,1,15000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1350,7000,3,Semi-Furnished,New_Property,1,25000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,750,7000,2,Semi-Furnished,New_Property,1,16500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,7000,2,Unfurnished,New_Property,1,10300000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1350,7000,3,Semi-Furnished,New_Property,1,26000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,7000,2,Unfurnished,Resale,1,11000000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,3,1800,7000,3,Unfurnished,New_Property,1,28500000
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,900,7000,2,Unfurnished,Resale,1,11000000
Apartment,Ready_to_move,Budh Vihar,2,900,,1,Furnished,Resale,1,11000000
Builder_Floor,Ready_to_move,Budh Vihar,3,810,,2,Semi-Furnished,Resale,1,4500000
Builder_Floor,Ready_to_move,Budh Vihar,2,450,72000,1,Unfurnished,Resale,1,3600000
Builder_Floor,Ready_to_move,Budh Vihar Phase 1,3,100,43000,2,Furnished,New_Property,1,4300000
Builder_Floor,Ready_to_move,Budh Vihar,3,900,4444,2,Semi-Furnished,Resale,1,4000000
Apartment,Ready_to_move,Budh Vihar Phase 1,2,500,3300,2,Semi-Furnished,Resale,1,1650000
Builder_Floor,Ready_to_move,Budh Vihar,1,450,4444,1,Furnished,Resale,1,2000000
Builder_Floor,Ready_to_move,Budh Vihar,2,75,40000,2,Semi-Furnished,Resale,1,3000000
Apartment,Ready_to_move,Budh Vihar Phase 1,2,270,5185,1,Semi-Furnished,Resale,1,1400000
